term,estimate,ci_95_low_hc3,ci_95_high_hc3,bayes_noninf_mean,bayes_noninf_low,bayes_noninf_high,bayes_inf_mean,bayes_inf_low,bayes_inf_high
const,0.7633430428178204,0.7591969101922962,0.7674891754433446,,,,,,
AGE_CENTERED,-0.012084778640406506,-0.012201953366794636,-0.011967603914018377,-0.01208337723010346,-0.012162088326419778,-0.012007155573444218,-0.012083877625136918,-0.012166236853240295,-0.012003493125109085
AGE_CENTERED_SQ,-0.0004957846195701967,-0.0005040724690684189,-0.0004874967700719744,-0.0004960525952060282,-0.0005025670144556364,-0.0004892313081831432,-0.0004955723043724,-0.000502582481182095,-0.0004885141891345423
AGE_CENTERED_CU,1.16751280477492e-05,1.1285966506061058e-05,1.2064289589437342e-05,1.1678440805879132e-05,1.1506848992253804e-05,1.184226591125322e-05,1.1673871672760207e-05,1.1494173305221879e-05,1.1845539863090006e-05
S.P.,-0.008562072421659642,-0.00877395963193773,-0.008350185211381554,-0.008560282136838923,-0.008760571538094711,-0.008363354505034485,-0.008566318612392147,-0.008760177638270143,-0.00836911638382973
LINE_ML,-0.06846920572533519,-0.070167556687504,-0.06677085476316637,-0.0684522016599653,-0.07013822215869454,-0.06686816957418247,-0.06847153969816797,-0.07001690778448505,-0.06674973422923447
FARM_SOURCE_GP11,0.0032262147223567645,-0.0008338685703198952,0.007286298015033424,0.003204504712396119,-0.0013714409816761313,0.00740154059686726,0.0032753266591103876,-0.0003858441162112735,0.007075365714913631
FARM_SOURCE_GP12,-0.02715364653628666,-0.031465129603546686,-0.022842163469026636,-0.027252311382710687,-0.031121640583313796,-0.022896350166889654,-0.027081745091102775,-0.03125915766057089,-0.022848306559776307
FARM_SOURCE_GP14,-0.027894115235340786,-0.03305885184589787,-0.0227293786247837,-0.027733906634648184,-0.03330014548196175,-0.021833537030576458,-0.027718901805838955,-0.03402078599794126,-0.021171991353513765
FARM_SOURCE_GP15,0.008613044965719217,0.004389717587499944,0.01283637234393849,0.008486967170668104,0.004377378113010763,0.012637951632608732,0.008646491462386852,0.004050482112344098,0.013102576472576451
FARM_SOURCE_GP16,-0.053126033108320696,-0.05767185532099999,-0.0485802108956414,-0.05318899040941223,-0.05764658029773012,-0.0487390992389441,-0.053104780409510235,-0.05771299948619182,-0.04865011800852446
FARM_SOURCE_GP17,0.021234700449047437,0.014168751355659742,0.028300649542435132,0.021400684244341307,0.014634526107759576,0.028203240675032652,0.0212908504040708,0.013648220999251707,0.028547511065139034
FARM_SOURCE_GP18,0.033804916976867355,0.028626805716714096,0.038983028237020614,0.03402557701359829,0.027926103537438716,0.039970812142204735,0.033982800406064086,0.02834444074116545,0.03956488668560729
FARM_SOURCE_GP19,-0.011444019246463656,-0.01544940964513623,-0.007438628847791084,-0.011400509978712212,-0.015550513721368375,-0.0074995217595472865,-0.011391471724551213,-0.015422789908910245,-0.006951396499618836
FARM_SOURCE_GP2,-0.06041819863812069,-0.06452643707527506,-0.05630996020096632,-0.06061243720566569,-0.06459580608419252,-0.05695024063394978,-0.06025864206559822,-0.06438886704911771,-0.056024318911345405
FARM_SOURCE_GP20,0.02315139057090834,0.019329219450565264,0.026973561691251414,0.023158420941807326,0.019108839806261945,0.02739601408167789,0.023265931939317332,0.019423946049349522,0.02716300047458215
FARM_SOURCE_GP22,-0.02193710359673475,-0.025552177301147908,-0.018322029892321595,-0.022036031953379876,-0.026002196229129262,-0.018202828284055988,-0.021805400773490066,-0.025278726943072854,-0.01822254985429284
FARM_SOURCE_GP23,-0.022045952397237587,-0.02727643403236539,-0.016815470762109784,-0.022012807625072756,-0.027057824971821628,-0.01685422586343871,-0.022178546186564195,-0.026908005745396098,-0.016855100949765313
FARM_SOURCE_GP24,-0.0005651460850876176,-0.005044938205554995,0.00391464603537976,-0.0005398774807789399,-0.005352092074385799,0.004608377240285383,-0.00031166794226503543,-0.005343623051080287,0.0048609089000073045
FARM_SOURCE_GP25,-0.11678855464036161,-0.12426517316851352,-0.10931193611220971,-0.11691607544851972,-0.12258433211022207,-0.11114063524046566,-0.1167424484531418,-0.12243038410864109,-0.11177349046807614
FARM_SOURCE_GP5,-0.04663854660416776,-0.05087957170763429,-0.04239752150070123,-0.04667788137196994,-0.0511861025679205,-0.04256026280803736,-0.04663412424498446,-0.05049456288775644,-0.042834591977457745
FARM_SOURCE_GP8,0.0023337275722249157,-0.0019765367264810915,0.006643991870930923,0.0023838727101197386,-0.0020419966247078284,0.006625208537133575,0.002340355579883735,-0.0014072254687281572,0.006278642013791797
FARM_SOURCE_GP9,0.07279084055716814,0.06821386205744452,0.07736781905689176,0.07272647002822347,0.06640450981884553,0.07938026216222097,0.07253568239225217,0.06626144780607854,0.07905714188589719
FARM_SOURCE_IMPD,0.1592895321331249,0.07055380715148202,0.2480252571147678,0.15920265640564402,0.07989568445568174,0.2396389122091402,0.1582961569068433,0.07678907099152746,0.23528431425077745
STRAIN_IR,0.06579830643067573,0.06384548488942375,0.06775112797192771,0.06582097044006642,0.06408516577171693,0.06750265537347398,0.06579367932839983,0.0638825904412624,0.06763708583081751
STRAIN_OTHER,-0.1356310060701496,-0.16772418510135956,-0.10353782703893964,-0.13521017607031166,-0.15937633250828184,-0.11404707392105955,-0.13559177211375253,-0.15789743771547976,-0.11416832421699849
