AGE_BUCKET,rows,mean_residual,residual_std,abs_residual_p90,weighted_ratio_mae
Q1,12319.0,-0.0021230681632254155,0.10880312593412973,0.16370528533343723,0.0676605618674654
Q2,12395.0,0.016357652201510173,0.07691129322276267,0.11893550110603032,0.05618451413917993
Q3,11637.0,-0.002629082441617717,0.09231289578467924,0.1305554136079533,0.059967739019806135
Q4,13034.0,-0.009129542663589629,0.10316513942681434,0.16851509126999928,0.07277248954603839
Q5,11957.0,-0.013125095420146636,0.11778497568278148,0.19507650479853603,0.08646477201037359
Q6,10484.0,0.012392868662495305,0.12593595622181322,0.20648218147305672,0.0870451584979054
