term,posterior_mean,credible_95_low,credible_95_high
Intercept,0.7632902355505735,0.759101487310988,0.7673221363367643
AGE_CENTERED,-0.012083877625136918,-0.012166236853240295,-0.012003493125109085
AGE_CENTERED_SQ,-0.0004955723043724,-0.000502582481182095,-0.0004885141891345423
AGE_CENTERED_CU,1.1673871672760207e-05,1.1494173305221879e-05,1.1845539863090006e-05
S.P.,-0.008566318612392147,-0.008760177638270143,-0.00836911638382973
LINE_ML,-0.06847153969816797,-0.07001690778448505,-0.06674973422923447
FARM_SOURCE_GP11,0.0032753266591103876,-0.0003858441162112735,0.007075365714913631
FARM_SOURCE_GP12,-0.027081745091102775,-0.03125915766057089,-0.022848306559776307
FARM_SOURCE_GP14,-0.027718901805838955,-0.03402078599794126,-0.021171991353513765
FARM_SOURCE_GP15,0.008646491462386852,0.004050482112344098,0.013102576472576451
FARM_SOURCE_GP16,-0.053104780409510235,-0.05771299948619182,-0.04865011800852446
FARM_SOURCE_GP17,0.0212908504040708,0.013648220999251707,0.028547511065139034
FARM_SOURCE_GP18,0.033982800406064086,0.02834444074116545,0.03956488668560729
FARM_SOURCE_GP19,-0.011391471724551213,-0.015422789908910245,-0.006951396499618836
FARM_SOURCE_GP2,-0.06025864206559822,-0.06438886704911771,-0.056024318911345405
FARM_SOURCE_GP20,0.023265931939317332,0.019423946049349522,0.02716300047458215
FARM_SOURCE_GP22,-0.021805400773490066,-0.025278726943072854,-0.01822254985429284
FARM_SOURCE_GP23,-0.022178546186564195,-0.026908005745396098,-0.016855100949765313
FARM_SOURCE_GP24,-0.00031166794226503543,-0.005343623051080287,0.0048609089000073045
FARM_SOURCE_GP25,-0.1167424484531418,-0.12243038410864109,-0.11177349046807614
FARM_SOURCE_GP5,-0.04663412424498446,-0.05049456288775644,-0.042834591977457745
FARM_SOURCE_GP8,0.002340355579883735,-0.0014072254687281572,0.006278642013791797
FARM_SOURCE_GP9,0.07253568239225217,0.06626144780607854,0.07905714188589719
FARM_SOURCE_IMPD,0.1582961569068433,0.07678907099152746,0.23528431425077745
STRAIN_IR,0.06579367932839983,0.0638825904412624,0.06763708583081751
STRAIN_OTHER,-0.13559177211375253,-0.15789743771547976,-0.11416832421699849
