AGE_BUCKET,rows,eggset,weighted_mean_ratio,mean_ratio,ratio_std,ratio_q10,ratio_median,ratio_q90,age_midpoint
Q1,12319.0,17245716.0,0.7367585086058474,0.6924377132325746,0.13317325832822363,0.5133121693121693,0.7220149253731343,0.8321175470810507,29.0
Q2,12395.0,22103878.0,0.758150492868265,0.7440101724006495,0.09368780274411236,0.6202909433763963,0.763339382940109,0.8416203835931431,35.0
Q3,11637.0,18291874.0,0.7104377058359357,0.6930174031520938,0.1132548126340122,0.5410817219246965,0.7160966981132075,0.8147052270592604,41.0
Q4,13034.0,16123113.0,0.628756059701374,0.6060697812547113,0.13366235041553134,0.4206559137758852,0.6272215644784791,0.76,48.0
Q5,11957.0,10860143.0,0.5227226750145003,0.4931251394843685,0.14648898968446586,0.2873673705221137,0.5094339622641509,0.6683412569573284,55.0
Q6,10484.0,6788938.0,0.4019901198096079,0.38232746898680037,0.1387757443960444,0.18842251950947603,0.3930899935804847,0.5496688741721855,62.0
