term,posterior_mean,credible_95_low,credible_95_high
Intercept,0.7633700910983512,0.7588849751273323,0.7673009609285728
AGE_CENTERED,-0.01208337723010346,-0.012162088326419778,-0.012007155573444218
AGE_CENTERED_SQ,-0.0004960525952060282,-0.0005025670144556364,-0.0004892313081831432
AGE_CENTERED_CU,1.1678440805879132e-05,1.1506848992253804e-05,1.184226591125322e-05
S.P.,-0.008560282136838923,-0.008760571538094711,-0.008363354505034485
LINE_ML,-0.0684522016599653,-0.07013822215869454,-0.06686816957418247
FARM_SOURCE_GP11,0.003204504712396119,-0.0013714409816761313,0.00740154059686726
FARM_SOURCE_GP12,-0.027252311382710687,-0.031121640583313796,-0.022896350166889654
FARM_SOURCE_GP14,-0.027733906634648184,-0.03330014548196175,-0.021833537030576458
FARM_SOURCE_GP15,0.008486967170668104,0.004377378113010763,0.012637951632608732
FARM_SOURCE_GP16,-0.05318899040941223,-0.05764658029773012,-0.0487390992389441
FARM_SOURCE_GP17,0.021400684244341307,0.014634526107759576,0.028203240675032652
FARM_SOURCE_GP18,0.03402557701359829,0.027926103537438716,0.039970812142204735
FARM_SOURCE_GP19,-0.011400509978712212,-0.015550513721368375,-0.0074995217595472865
FARM_SOURCE_GP2,-0.06061243720566569,-0.06459580608419252,-0.05695024063394978
FARM_SOURCE_GP20,0.023158420941807326,0.019108839806261945,0.02739601408167789
FARM_SOURCE_GP22,-0.022036031953379876,-0.026002196229129262,-0.018202828284055988
FARM_SOURCE_GP23,-0.022012807625072756,-0.027057824971821628,-0.01685422586343871
FARM_SOURCE_GP24,-0.0005398774807789399,-0.005352092074385799,0.004608377240285383
FARM_SOURCE_GP25,-0.11691607544851972,-0.12258433211022207,-0.11114063524046566
FARM_SOURCE_GP5,-0.04667788137196994,-0.0511861025679205,-0.04256026280803736
FARM_SOURCE_GP8,0.0023838727101197386,-0.0020419966247078284,0.006625208537133575
FARM_SOURCE_GP9,0.07272647002822347,0.06640450981884553,0.07938026216222097
FARM_SOURCE_IMPD,0.15920265640564402,0.07989568445568174,0.2396389122091402
STRAIN_IR,0.06582097044006642,0.06408516577171693,0.06750265537347398
STRAIN_OTHER,-0.13521017607031166,-0.15937633250828184,-0.11404707392105955
