age_only_model,age_center,weighted_ratio_mae,ratio_rmse,residual_variance
degree_1,44.0,0.09127037246079449,0.14031619094926429,0.018666800330186584
degree_2,44.0,0.08794292634254804,0.1344782045682366,0.017249635701396586
degree_3,44.0,0.08506166365725305,0.1271333956951977,0.01569290458202397
