k,conceptual_predictors,design_columns,cv_rmse_mean,cv_rmse_sd,train_rmse,bootstrap_632_rmse,bootstrap_oob_rmse,aic,bic,r2,adj_r2
1,AGE (cubic basis),3,0.1249802497315635,0.00114358398199,0.1249622216650475,0.1250632345573357,0.1251220521908199,-94918.00020243324,-94881.27219520732,0.5038828436670361,0.5038621208875396
2,AGE + S.P.,4,0.1205704070168927,0.0010401970536425,0.1205477250246586,0.1204688290031404,0.1204228895475729,-100082.54955390464,-100036.63954487226,0.538316017318054,0.5382903042824415
3,AGE + S.P. + LINE,5,0.11540679423088,0.0010674042223874,0.1153807307617604,0.115453686546954,0.1154961671307376,-106373.70959090636,-106318.61758006748,0.577045801294039,0.5770163558611021
4,AGE + S.P. + LINE + FARM_SOURCE,23,0.1094056700988487,0.0011935731917164,0.1093528633870869,0.109256687137326,0.1092006857767058,-114045.70672904912,-113825.3386856936,0.6200844330328646,0.6199627364500362
5,AGE + S.P. + LINE + FARM_SOURCE + STRAIN,25,0.1054230660287048,0.0011493337947479,0.105361438060224,0.1055207362017289,0.1056134920815926,-119383.151502841,-119144.41945587254,0.6473124336184819,0.647189631541051
