k,conceptual_predictors,design_columns,bayes_cv_rmse_mean,bayes_cv_rmse_sd,bayes_train_rmse,waic,lppd,p_waic
1,AGE (cubic basis),3,0.1249802497315546,0.0011435839819984,0.1249622216650475,-94911.04677064116,47465.355175490266,9.83179016968698
2,AGE + S.P.,4,0.1205704070168823,0.0010401970537021,0.1205477250246586,-100075.17086002792,50048.71681586459,11.13138585062985
3,AGE + S.P. + LINE,5,0.1154067942308685,0.0010674042224441,0.1153807307617604,-106364.63187601331,53196.09335128096,13.777413274304726
4,AGE + S.P. + LINE + FARM_SOURCE,23,0.1094056700988356,0.0011935731917759,0.1093528633870869,-114034.21164228849,57050.59947212647,33.49365098222811
5,AGE + S.P. + LINE + FARM_SOURCE + STRAIN,25,0.1054230660286913,0.0011493337947475,0.105361438060224,-119369.67724576624,59722.53967258074,37.70104969761565
