candidate,corr_with_target,corr_with_age,n_unique
AGE,-0.6379515074646711,1.0,55
B,-0.036186623759764176,-0.03034387408794399,5
GRP,-0.6398245173024667,0.9780438197828949,8
INCUBATION_DAYS,,,1
S.P.,-0.09931370929764696,-0.11778992092683341,26
STORAGE_DAYS_CALC,-0.09931370929764696,-0.11778992092683341,26
