term,estimate,ci_95_low,ci_95_high,std_error
Intercept,0.6074130663886229,0.6064496600911581,0.6083764726860877,0.0004915345677180294
AGE,-0.07305676562029971,-0.07767990988711285,-0.06843362135348657,0.002358750637883366
GRP,-0.045906203807667745,-0.05053021541683644,-0.04128219219849905,0.002359193160161786
S.P.,-0.03194690415655787,-0.03291762149636987,-0.03097618681674587,0.0004952646969990259
