prior,term,mean,cred_95_low,cred_95_high
noninformative,Intercept,1.0968329657259062,1.089023127873142,1.1048450047131162
noninformative,AGE,-0.006509662081628587,-0.006919894618636251,-0.006105787489497951
noninformative,GRP,-0.024129481594124983,-0.026455352501472795,-0.021737237313408975
noninformative,S.P.,-0.00787287853166929,-0.008111695014546392,-0.007634786648868159
informative_from_OLS,Intercept,1.0969105809373019,1.0908332650464871,1.1032077358719927
informative_from_OLS,AGE,-0.006513827795063957,-0.006772598995609479,-0.006253405900471099
informative_from_OLS,GRP,-0.024099012126355356,-0.025587709331100505,-0.022562161672223507
informative_from_OLS,S.P.,-0.007875512164604633,-0.008109026633337542,-0.00764408097469417
