term,ols_estimate,ols_ci_95_low,ols_ci_95_high,bayes_noninf_mean,bayes_noninf_cred_95_low,bayes_noninf_cred_95_high,bayes_inf_mean,bayes_inf_cred_95_low,bayes_inf_cred_95_high,inf_minus_noninf_mean
Intercept,1.0968700929398,1.08868505827594,1.1050551276036602,1.0968329657259062,1.089023127873142,1.1048450047131162,1.0969105809373019,1.0908332650464871,1.1032077358719927,7.76152113957096e-05
AGE,-0.006512666365671688,-0.006924797889897787,-0.006100534841445588,-0.006509662081628587,-0.006919894618636251,-0.006105787489497951,-0.006513827795063957,-0.006772598995609479,-0.006253405900471099,-4.1657134353702274e-06
GRP,-0.024107162765173645,-0.02653541409602459,-0.021678911434322698,-0.024129481594124983,-0.026455352501472795,-0.021737237313408975,-0.024099012126355356,-0.025587709331100505,-0.022562161672223507,3.0469467769626835e-05
S.P.,-0.007873177776285475,-0.008112406909393634,-0.007633948643177317,-0.00787287853166929,-0.008111695014546392,-0.007634786648868159,-0.007875512164604633,-0.008109026633337542,-0.00764408097469417,-2.6336329353431748e-06
