k,predictors,bayes_cv_rmse_mean,bayes_cv_rmse_sd,bayes_train_rmse,waic,lppd,p_waic
1,AGE,0.1357363538563842,0.0012931793365704783,0.13573803016028715,-82975.87399277276,41491.670626397696,3.733630011314712
2,AGE + GRP,0.13544592832964075,0.0012965831578495718,0.13544418276076758,-83284.9863121823,41647.120344507035,4.627188415887162
3,AGE + GRP + S.P.,0.13168668955670776,0.0011376247143413164,0.13168081717328572,-87327.58625124853,43669.69023414538,5.897108521118215
