term,ols_std_estimate,ols_std_ci_95_low,ols_std_ci_95_high,bayes_noninf_mean,bayes_noninf_cred_95_low,bayes_noninf_cred_95_high,bayes_inf_mean,bayes_inf_cred_95_low,bayes_inf_cred_95_high,inf_minus_noninf_mean
Intercept,0.6074130663886229,0.6064496600911581,0.6083764726860877,0.6074130663801598,0.6064496861690941,0.6083764465912255,0.6074130663886228,0.6064660384580572,0.6083600943191884,8.463008072112643e-12
AGE,-0.07305676562029971,-0.07767990988711285,-0.06843362135348657,-0.07305676561124397,-0.07767978469457627,-0.06843374652791166,-0.0730567656202955,-0.07595580192744539,-0.07015772931314562,-9.051537297466439e-12
GRP,-0.045906203807667745,-0.05053021541683644,-0.04128219219849905,-0.045906203815814894,-0.05053009021801749,-0.041282317413612296,-0.04590620380766752,-0.048805747494405256,-0.04300666012092979,8.147371666211711e-12
S.P.,-0.03194690415655787,-0.03291762149636987,-0.03097618681674587,-0.03194690415601556,-0.03291759521146523,-0.03097621310056589,-0.031946904156557626,-0.03290073817770159,-0.030993070135413664,-5.420663917732327e-13
