k,predictors,cv_rmse_mean,cv_rmse_sd,train_rmse,bootstrap_632_rmse,bootstrap_oob_rmse,aic,bic,r2,adj_r2
1,AGE,0.13573635385638388,0.0012931793366324064,0.13573803016028718,0.13565521736473368,0.13560699725593037,-82978.50232632054,-82960.13979904105,0.41401210514347264,0.41400394045446376
2,AGE + GRP,0.13544592832964364,0.0012965831579216803,0.13544418276076758,0.13543115576009168,0.13542357041792596,-83287.58936160806,-83260.04557068882,0.41654646693147923,0.41653020795048246
3,AGE + GRP + S.P.,0.13168668955671167,0.0011376247144383627,0.13168081717328572,0.1316765240803956,0.13167402430478867,-87330.52579423375,-87293.80073967477,0.4485189601742817,0.4484959078380435
