term,estimate,ci_95_low,ci_95_high,p_value
Intercept,1.0968700929398,1.08868505827594,1.1050551276036602,0.0
AGE,-0.006512666365671688,-0.006924797889897787,-0.006100534841445588,3.03961808618246e-209
GRP,-0.024107162765173645,-0.02653541409602459,-0.021678911434322698,4.0771248483262226e-84
S.P.,-0.007873177776285475,-0.008112406909393634,-0.007633948643177317,0.0
