prior,term,posterior_mean,credible_95_low,credible_95_high
noninformative,Intercept,0.6074130663801598,0.6064496861690941,0.6083764465912255
noninformative,AGE,-0.07305676561124397,-0.07767978469457627,-0.06843374652791166
noninformative,GRP,-0.045906203815814894,-0.05053009021801749,-0.041282317413612296
noninformative,S.P.,-0.03194690415601556,-0.03291759521146523,-0.03097621310056589
informative_from_OLS,Intercept,0.6074130663886228,0.6064660384580572,0.6083600943191884
informative_from_OLS,AGE,-0.0730567656202955,-0.07595580192744539,-0.07015772931314562
informative_from_OLS,GRP,-0.04590620380766752,-0.048805747494405256,-0.04300666012092979
informative_from_OLS,S.P.,-0.031946904156557626,-0.03290073817770159,-0.030993070135413664
