term,mean,cred_95_low,cred_95_high
Intercept,1.0969105809373019,1.0908332650464871,1.1032077358719927
AGE,-0.006513827795063957,-0.006772598995609479,-0.006253405900471099
GRP,-0.024099012126355356,-0.025587709331100505,-0.022562161672223507
S.P.,-0.007875512164604633,-0.008109026633337542,-0.00764408097469417
